<expr>,ct.count,
/VX/DEN2/GUESTW3822,732855,
/FOUR/LAND/GUESTW8551,731541,
/ES/MS/HUDSON7556,728439,
/VX/SA/UPPART1967,726771,
/INDS/KC/KOCH446287,724271,
/INDS/323/DUFFYA9947,723730,
/ARP/VAN/ANDCOS9883,713394,
/KILN/PC/CARLSB6373,709576,
/TISH/595/HGCAPI7867,704082,
/JLL/LIC/MARIAC5966,704008,
/JLL/15/LEGALA9617,700716,
/INDS/135/GUESTW0903,698819,
/INDS/IRV2/HANA332322,698016,
/INDS/BOST4/GUESTW4420,696071,
/LAU/DC2/FOSEMC9385,690691,
/INDS/KC/GAFENE2093,687689,
/SER/RID/LPLFIN6498,686757,
/VARI/SL/LTPTDD0254,676782,
/INDS/SAN2/HAMSAP9797,675510,
/INDS/BOULD/DOUBLE7802,675418,
/CARR/TYS/INTERN1098,671515,
/KILN/PC/RESIDE6546,669778,
/CARR/EMB/GUESTW8536,668280,
/INDS/AUS3/FORTIT6201,664227,
/TISH/1230/DEALPA4815,662847,
/INDS/TEM/GUESTW7897,661471,
/INDS/NYC7/GUESTW4402,661120,
/INDS/NYC5/HILLWA2114,654709,
/INDS/1411/ICON605931,654446,
/SER/ROCH/HMSCAR3119,651523,
/CARR/KST/WIFIGU7583,649092,
/INDS/SAN2/GUESTW4765,646353,
/TISH/5TH/GOODMA4022,644598,
/INDS/BOST3/MCJCOL6025,640798,
/SER/RID/IMAGIN3897,640077,
/ES/MS/QWELTD2124,639150,
/SYW/MAD/MANAGE3081,639008,
/EOO/AVI/EMORTG3927,637303,
/ES/MS/XYZ7429653,635259,
/INDS/PAL/DEEPBR1677,631820,
/INDS/SD/DATYRA9527,624379,
/INDS/NPB/LOUNGE7509,622490,
/PREM/IRV/ARTEMY3365,621828,
/JLL/NSH/THEBUL1134,618163,
/INDS/DC2/ACTUM60906,614044,
/INDS/NYC6/GUESTW2679,610119,
/INDS/DC9/GUESTW3429,610038,
/INDS/DED/TRUROO1770,608365,
/SER/ROCH/MICHAE3561,606190,
/INDS/NYC/GUESTW4714,605262,
/INDS/MAN/GUESTW0416,604958,
/INDS/135/LOUNGE8585,603406,
/CARR/300/ADOBE24222,602576,
/ES/MS/VICSCO0789,600698,
/INDS/SEA2/GUESTW5197,599427,
/INDS/PHI3/GUESTW5122,598001,
/INDS/WC/GUESTW5020,597026,
/INDS/SH/LOUNGE5475,595641,
/INDS/STP/GUESTW7068,594855,
/INDS/PAL/GUESTW9211,588096,
/INDS/ROSE/GUESTW5887,584714,
/KILN/PC/VILLAG1852,584660,
/TISH/42/COYLEC2347,583038,
/DD/WB/EDUCAT7474,581473,
/LAU/DC2/STAGES8313,576327,
/INDS/NYC5/SUTTON8316,575639,
/TISH/300/GUESTW3246,574688,
/MAY/WAU/COMPAS2399,574514,
/VARI/SL/CLINTS0042,574193,
/INDS/PAL/NINJAT3884,573136,
/TISH/BOS/WINDSO7868,565626,
/LAU/DC2/IZENBE8755,563929,
/INDS/6060/GUESTW9071,561004,
/CC/PLA/BECKLE9890,558846,
/INDS/1722/YEEAND5348,557606,
/INDS/AUS2/GUESTW6833,550789,
/SER/LA1/SEREND1215,546933,
/ES/MS/BNPTES0121,545556,
/INDS/CHAR/GUESTW5823,544772,
/INDS/2033/GLOBAL3413,543625,
/VX/DEN2/BRIDDL2683,543429,
/INDS/COL2/25DIAL5095,538513,
/HUGO/KEAR/RNALOG2217,535239,
/INDS/LAS/TREACY5671,534913,
/TISH/AQWA/TISHMA9600,533943,
/VARI/SL/PACIFI8306,533781,
/ES/MS/LOWTID2728,533485,
/INDS/LA3/LIVEME5284,532712,
/SER/WP/RIPPLE9313,530369,
/CARR/DIA/SITEDT7182,529920,
/JLL/NSH/SAGECR7412,528169,
/LAU/CP/GUESTW3985,527635,
/INDS/NPB/MANAGE6592,525968,
/FOUR/LAND/MANAGE7211,524700,
/TISH/595/GUESTW7983,523155,
/TISH/333/QUALLI9419,522061,
/HUGO/KEAR/WORLDW2293,516563,
/KILN/PC/UPLIFT9987,514878,
/GWC/SA/CREDIT6852,514336,
/INDS/909/LOUNGE8741,513141,
/INDS/PLA/GUESTW2791,511953,
/SER/MEM/WEOFFR1245,510690,
/LAU/DC2/DAVIDM0488,508314,
/ES/MS/STELLA5595,507492,
/INDS/FSQ/GUESTW7722,501773,
/ES/MS/DONNIE2740,499931,
/INDS/LA3/SCREEN7651,498543,
/TISH/AQWA/GRUPOD1909,498504,
/INDS/DART/SPINNA5073,498305,
/INDS/CHAR/PARKHU7098,494117,
/HUGO/KEAR/LIFTEC0935,489160,
/INDS/CARM/RFSOPC1324,488889,
/LAU/DC2/OAKPRO7783,488150,
/MAY/WAU/TWO3SO1570,487240,
/YO/CH/TRC0325270,486764,
/INDS/GLEN/TESTAN4655,485743,
/INDS/CH/COMPAS9453,483366,
/JLL/LIC/ADAMGO3212,481567,
/INDS/FSQ/MANAGE1994,479258,
/INDS/32/GUESTW6832,478717,
/INDS/6060/OXEFIT0553,478540,
/DD/WB/HOWARD6897,478097,
/INDS/NPB/GUESTW3010,477688,
/SER/WP/SYMPHO6709,477687,
/INDS/CH/GUESTW7619,477072,
/INDS/NYC/LOUNGE8403,475807,
/CARR/KST/SITEDT8169,472465,
/INDS/CH/PROJEC4994,471775,
/INDS/323/WIFIGU0964,471728,
/INDS/PAS/ERESI05764,468651,
/FUSE/AUS/FAIRHO0273,467014,
/INDS/NYC8/GUESTW5601,466909,
/INDS/SAN/GRANTT7311,466882,
/TISH/AQWA/STUDIO6496,466771,
/INDS/SAN3/THECOT7672,466186,
/TISH/CON/STUDIO7334,465536,
/INDS/152/HRLMOR7394,465169,
/CC/PLA/MXCONS5531,462566,
/INDS/WM/HOMETO3760,462208,
/INDS/1PP/INSTAW5822,461903,
/INDS/SD/UPNGOI7394,459050,
/INDS/DC4/SRM9069187,458908,
/INDS/NYC/BENCHM0765,457472,
/SER/ROCH/LAPORT0384,456512,
/VARI/SL/2020CO0658,455554,
/FOUR/LAND/SUNCOA3404,454192,
/LAU/DC2/CAPITA3050,453867,
/SER/RID/MANAGE1140,452518,
/INDS/JC/USDEVE9922,451599,
/ES/MS/DONNIE9067,451290,
/INDS/DC2/GUESTW2250,447488,
/INDS/DC3/MELHOR3680,447099,
/CC/PLA/JUANCO1946,445670,
/TISH/1230/FAOSHW5088,445302,
/JLL/CHES/GUESTW8745,444625,
/EOO/AVI/EITANG8070,443318,
/INDS/LA3/GUESTW9183,443060,
/SCC/CM/ARGYLE9072,442124,
/ES/MS/JLLAPA5837,441921,
/SER/LA1/MARUBE0125,440051,
/INDS/1801/BALLMO2319,438817,
/DCW/FAR/GOLDBE5989,437523,
/INDS/NYC/AXIOS03684,435280,
/INDS/COL2/OHIOAT0902,433373,
/HINE/HOU/MANAGE7181,433329,
/INDS/135/DEXTRA7103,433307,
/TISH/CON/MANAGE6076,432696,
/INDS/1411/LOUNGE4725,432215,
/NYCOS/AA/REINVE4442,431113,
/INDS/BLS/INNOVO9095,430580,
/INDS/PHX/EXPERI9941,429604,
/LAU/DC2/DANDEL3859,427559,
/INDS/SEA/DREAMT9076,427165,
/INDS/1PP/WISDOM0136,426621,
/ES/MS/DONNIE1303,426091,
/MAY/WAU/GUESTW0707,423928,
/INDS/ARL2/LOUNGE7775,422354,
/SER/KAN/GUESTW8335,419935,
/INDS/PAL/MERCAR3015,419302,
/INDS/BOST4/ARRAYO6489,416542,
/INDS/233/GUESTW1976,412786,
/JLL/LIC/DANAJA7095,412521,
/INDS/JC/TZEROG5573,412135,
/INDS/PIT2/GUESTW1627,411925,
/INDS/323/IVYPRO3848,410616,
/INDS/NYC/NYCSOC4825,408662,
/HINE/HOU/OTTOEN0650,408301,
/HINE/HOU2/HINESP4005,407811,
/INDS/135/ORANGE1419,405030,
/INDS/PHI2/OSCART7334,404412,
/LAU/ET/RFSOPC9118,404274,
/INDS/PHX/LOUNGE8311,404179,
/INDS/233/MAGMAC8496,404056,
/TISH/333/WTW3584393,403806,
/INDS/SD/ROCSEA9480,400344,
/INDS/DART/TRAVEL5460,400336,
/INDS/KC/GUESTW8936,396059,
/INDS/ABER/GUESTW5742,393788,
/EXEC/HIP/DRBLAW3560,392793,
/INDS/6060/INSITU9094,392585,
/INDS/CHI2/GUESTW9966,392230,
/INDS/DED/GUESTW0126,391192,
/CARR/IND/SAPIEN8266,390081,
/INDS/NPB/HERDMA8640,389486,
/CARR/EMB/HOYERA5893,388814,
/JLL/NSH/BALBOA6764,388620,
/PREM/IRV/RODHAN0029,387927,
/JLL/NSH/JACKPO9363,387127,
/INDS/PHX2/HOOTME2130,387015,
/FOUR/LAND/NETWOR3959,386789,
/JLL/CHI/NEXUSB8362,385592,
/INDS/DFM/GUESTW4981,384837,
/HINE/HOU/MICHEL8204,383848,
/INDS/6601/LOUNGE5289,383122,
/YO/CH/GREENB9159,382912,
/INDS/PAS/CLOUDG1437,381093,
/SER/ROCH/ASPIRE7245,379868,
/JLL/LIC/SIGNAT3351,379149,
/FUSE/HOU/ACTIVE0332,377735,
/TISH/CON/BIOCAR3469,377543,
/ES/MS/SOULBR3794,377213,
/INDS/AUS2/MANAGE4249,376888,
/ES/MS/RGTEST1360,376822,
/SER/DEN2/ELEVAT5879,375943,
/TISH/300/SPHAER8930,375594,
/CARR/4800/MACROV0677,375111,
/INDS/HY/GUESTW1530,373558,
/SER/ATL3/OCADO14574,372089,
/VX/DEN/LOUNGE8448,371824,
/NYCOS/AA/EMPIRA4744,371163,
/INDS/NYC5/WTPAME8472,370141,
/EXEC/HIP/REGULU2632,369921,
/KILN/PC/LIONEL5200,369597,
/CC/DAL/LASALL7858,369445,
/TISH/BEV/KOMODO8588,367820,
/INDS/1PP/GRIZZL1824,367432,
/CARR/LAS/SITEDT2666,366993,
/INDS/DART/KENNET5125,364786,
/INDS/SFL/MANAGE6741,362640,
/INDS/ABER/TRAVEL4739,360947,
/INDS/1PP/AURIEM2968,359999,
/HUGO/KEAR/HARRYS8256,359655,
/EXEC/HIP/NYCNAV8972,359632,
/SER/MNT/EASTCO2603,359552,
/INDS/BEL/DATABR4803,358424,
/INDS/AUS2/NOOD447607,358194,
/INDS/NYC5/ECOHZI2981,357479,
/HUGO/KEAR/ALPHAL7976,357097,
/INDS/GLEN/GUESTW8499,356935,
/INDS/PIT2/FEDERA7976,356681,
/INDS/TOR/GUESTW6753,355456,
/INDS/1PP/BIGTHI8777,354341,
/INDS/LA3/BIASSE9625,353098,
/TISH/BEV/KIPMOR6591,352261,
/INDS/NYC4/BESPOK9920,350867,
/INDS/CARM/OBJECT4981,350358,
/SER/ROCH/NICKMC2505,349935,
/INDS/1PP/RYSTAD4559,349462,
/INDS/HY/BREAKW0998,349454,
/INDS/AUS3/PERKIN3795,349334,
/INDS/HOU2/GUESTW1676,349317,
/CARR/DIA/WIFIGU8837,348499,
/SER/ROCH/SEREND0184,346691,
/ARP/VAN/DESTIN2851,344743,
/INDS/SFL/GUESTW2407,344611,
/INDS/SAN3/BUROHA6244,342148,
/INDS/DART/TREACY4893,341971,
/INDS/LA3/TIMEBY7912,341953,
/INDS/STP/FTRHOS9817,341905,
/CARR/1455/SITEDT1278,341886,
/INDS/ARL2/DYNAMI5547,341283,
/SAGE/NY/COALES6869,340406,
/INDS/LA3/LIVEPL1772,340134,
/INDS/LA3/ACFUSA6430,340003,
/SER/RID/CUSTOM3336,337847,
/LAU/ET/VESTIA9193,337424,
/INDS/NYC4/LOUNGE5314,336747,
/INDS/SD/GUESTW6132,336681,
/DD/WB/ITALIA3629,336177,
/INDS/LA1/SELLIG6286,334386,
/INDS/PHX2/GUIDEL8180,333708,
/CARR/1455/WIFIGU4717,331506,
/SER/MNT/LOUNGE9560,331253,
/INDS/LA3/LOUNGE6706,331227,
/INDS/CARM/STUDEN5814,331156,
/INDS/IRV2/GUESTW3987,330956,
/INDS/TEM/LABORF9328,330418,
/CARR/CTA/OKINAW5923,329652,
/INDS/SAN3/GUESTW5796,329428,
/SER/ROCH/CETRUL5022,328408,
/INDS/HY/LOUNGE2433,326977,
/INDS/SD/FRANKR2914,326149,
/VX/BETH/GUESTW4899,326145,
/INDS/2033/DATABR5311,324286,
/SCC/CM/TRUFFD1400,323883,
/INDS/CARM/COMPAS4591,323695,
/ENT/5500/ACVIM95151,323471,
/KILN/PC/WESTWO9678,323425,
/INDS/SH/COMPAS8823,323316,
/INDS/DFM/TEADSI1269,323221,
/INDS/ARL2/GUESTW3087,322701,
/INDS/SH/GUESTW8616,322700,
/INDS/SLC2/MANAGE9152,322650,
/INDS/NPB/PAYARC6334,322238,
/TISH/BEV/MANAGE9414,321946,
/JLL/LIC/GASETE7882,321712,
/INDS/BK2/GUESTW2176,321605,
/DCW/RON/GUESTW3707,321546,
/SCC/350/COOKAR0524,321496,
/INDS/BOST3/ARCHIP7436,321164,
/YO/CH/ERIKIN2210,320532,
