<expr>,<expr>,<expr>,
/JLL/TL,42,466,
/WRO/MAR,16,101,
/JLL/TQT,12,152,
/JLL/MC,10,212,
/WRO/WAL,10,207,
/WRO/YAR,8,70,
/WRO/OAS,6,47,
/KLL/KBT,2,125,
/Public/Fallback,1,67316,
/Local,1,1776,
/Local/Multicast,1,5,
