<expr>,<expr>,<expr>,
/NYCOS/733,8,36,
/LAU/MD2,8,27,
/ADVAN/LST,8,26,
/SCC/CM,7,129,
/ENT/300,7,40,
/HELIX/535,7,32,
/ES/SM,6,542,
/INDS/6701,6,409,
/TISH/1270,6,360,
/INDS/DC6,6,97,
/ALAW/IND,6,50,
/TISH/1R,6,30,
/OPT/AL,6,27,
/LAU/DC1,6,20,
/MILL/BOS,5,341,
/SER/NYC2,5,92,
/SER/DUB,5,59,
/WAG/BX,5,41,
/GWC/SA,5,26,
/NEXUS/1201,5,20,
/IQ/TOR,5,19,
/BLEND/NYC,5,14,
/DCW/GT,5,12,
/INDS/350,5,12,
/SCC/CHI,4,770,
/INDS/1PPC,4,273,
/DCW/RON,4,143,
/INDS/SEA2,4,143,
/INDS/TOR2,4,120,
/TISH/45R,4,59,
/VARI/COP,4,26,
/ARG/NYC,4,24,
/IQ/MON,4,13,
/INDS/ORL,4,5,
/INDS/TAM,4,5,
/CBRE/PAL,3,1007,
/INST/SM,3,638,
/SAGE/NY,3,170,
/LW/717,3,117,
/TISH/525WM,3,83,
/BR/WE,3,40,
/SER/80T,3,36,
/INDS/MIA3,3,26,
/CARR/LN,3,16,
/INDS/RAL,3,13,
/CARR/POS,3,12,
/INDS/CP,3,6,
/TISH/WIL,2,43,
/BR/IRV,2,9,
/SER/NYC,2,8,
/INDS/3424,2,4,
/Public/Fallback,1,1050406,
/Local,1,81905,
/Local/Multicast,1,367,
/BR/RES,1,255,
/LAU/VIR,1,21,
/BR/LEN,1,8,
/SCC/999,1,8,
/SCC/SEA,1,8,
/SER/CT,1,8,
/INDS/BOST2,1,4,
/SCC/1420,1,4,
/SER/ATL2,1,4,
/SER/HOU,1,4,
/SER/NSH,1,4,
/INDS/ATL4,1,1,
/Local/Broadcast,1,1,
/VX/DC,1,1,
