<expr>,capture.hostname,<expr>,<expr>,
/YO/CH,acc-capture-ny1-01,77,24,
/VX/SA,acc-capture-tx-01,77,12,
/CARR/WIS,acc-capture-ny1-01,76,21,
/INDS/CAM,acc-capture-ny1-01,75,11,
/INDS/SLC2,acc-capture-sv2-01,74,11,
/INDS/TOR2,acc-capture-ny1-01,74,4,
/SER/MNT,acc-capture-atl-01,73,16,
/ARP/VAN,acc-capture-tx-01,71,7,
/INDS/NYC3,acc-capture-ny1-01,70,22,
/EOO/AVI,acc-capture-sv2-02,70,17,
/INDS/CM,acc-capture-sv2-01,68,20,
/CARR/ELW,acc-capture-ny1-01,68,19,
/CARR/TYS,acc-capture-ny1-01,67,21,
/TISH/595,acc-capture-sv2-02,67,14,
/INDS/PORT2,acc-capture-sv2-01,67,9,
/INDS/101,acc-capture-atl-01,66,22,
/JLL/LIC,acc-capture-ny1-01,66,14,
/MC/HOU,acc-capture-tx-01,66,12,
/INDS/IRV,acc-capture-sv2-01,65,20,
/CC/DAL,acc-capture-tx-01,64,12,
/WB/CH,acc-capture-se2-01,64,4,
/INDS/MIA4,acc-capture-atl-01,63,21,
/LAU/DC2,acc-capture-atl-01,61,14,
/LAU/DC2,acc-capture-sv2-02,59,7,
/TISH/BEV,acc-capture-sv2-02,58,21,
/CARR/EMB,acc-capture-sv2-01,58,16,
/BES/HOU,acc-capture-tx-01,58,9,
/SER/DEN2,acc-capture-tx-01,57,15,
/JLL/SEA,acc-capture-se2-01,57,13,
/INDS/DC9,acc-capture-ny1-01,56,12,
/LAU/CP,acc-capture-ny1-01,56,11,
/JLL/LIC,acc-capture-tx-01,56,10,
/THR/CH,acc-capture-atl-01,55,14,
/JLL/DIS,acc-capture-ny1-01,54,20,
/INDS/1PPC,acc-capture-ny1-01,54,4,
/INDS/323,acc-capture-ny1-01,53,13,
/SER/MAD,acc-capture-ny1-01,52,15,
/ADVAN/CC,acc-capture-ny1-01,51,13,
/SER/MCK,acc-capture-tx-01,48,12,
/SER/CLA,acc-capture-tx-01,47,22,
/SCC/CM,acc-capture-sv2-01,46,6,
/INDS/LA5,acc-capture-sv2-02,45,18,
/INDS/2033,acc-capture-sv2-01,45,14,
/TISH/AQWA,acc-capture-tx-01,45,12,
/INDS/WC,acc-capture-se2-01,43,18,
/INDS/PAS,acc-capture-sv2-01,43,17,
/INDS/PLA,acc-capture-ny1-01,40,26,
/UNI/BUF,acc-capture-ny1-01,40,14,
/SER/ATL3,acc-capture-atl-01,40,9,
/CARR/CTA,acc-capture-ny1-01,40,8,
/ENT/300,acc-capture-sv2-01,40,7,
/INDS/STY,acc-capture-atl-01,39,20,
/INDS/POR,acc-capture-sv2-02,39,10,
/INDS/BET2,acc-capture-ny1-01,39,8,
/SER/LA1,acc-capture-sv2-02,39,7,
/ARP/VAN,acc-capture-sv2-01,39,6,
/INDS/SAN3,acc-capture-sv2-02,38,14,
